,region,Long10,Lat10,Altitude,TempAnn,TempDayRng,Isotherm,TempSeas,TempMax,TempMin,TempAnnRng,PrecAnn,PrecWetP,PrecDryP,PrecSeas,WaterDefDur,WaterDefSev,WaterExcDur,WaterExcSev,HyperSeas,DaysFrost,Cloudiness,PotentialET,AridityIndex,GrassCover,IflamIndex,Rockiness,Sandiness,SoilDrain,SoilWaterStorage,SoilFert,Salinity
AtlRS023,south,-52.87,-29.45,407,18.3,10.2,52,333,28.8,9.3,19.5,1510,168,91,20,0,0,295,328,0,1,0,1287,117,0,0,5,5,50,73,37,0
AtlRS024,south,-53.82,-29.57,452,18.4,10.8,52,364,29.4,8.6,20.8,1727,157,134,6,0,0,360,527,0,2,0,1342,129,0,0,5,5,50,73,37,0
AtlRS025,south,-52.68,-27.34,644,19.1,10.6,55,309,29,9.9,19.1,1921,191,124,11,0,0,360,721,0,0,0,1366,141,0,0,5,15,50,70,37,0
AtlRS026,south,-53,-27.36,583,19.6,10.9,55,321,29.7,9.8,19.9,1893,186,127,10,0,0,360,693,0,0,0,1390,137,0,0,5,15,50,70,37,0
AtlRS027,south,-52.55,-27.51,655,18.2,10.6,56,305,28,9,19,1924,192,124,12,0,0,360,724,0,1,0,1351,139,0,0,5,15,50,70,37,0
AtlRS028,south,-52.27,-27.63,775,17.8,10.8,56,308,27.8,8.5,19.3,1864,202,123,14,0,0,360,664,0,2,0,1334,140,0,0,5,15,50,70,37,0
AtlRS029,south,-51.4,-27.84,750,17,10.8,55,318,26.9,7.3,19.6,1727,186,116,13,0,0,360,527,0,5,0,1305,132,0,0,5,15,50,70,37,0
AtlRS030,south,-52.21,-27.9,671,18.1,10.6,55,311,28.1,8.8,19.3,1783,202,117,15,0,0,360,583,0,1,0,1333,129,0,0,5,15,50,70,37,0
AtlRS031,south,-52.83,-27.91,657,18.7,10.6,54,316,28.9,9.4,19.5,1814,186,119,12,0,0,360,614,0,0,0,1356,127,0,0,5,65,50,58,37,0
AtlRS032,south,-51.93,-27.92,591,18.3,10.7,55,318,28.4,8.9,19.5,1717,198,117,15,0,0,360,517,0,1,0,1350,127,0,0,5,15,50,70,37,0
AtlRS033,south,-51.29,-27.95,868,16.3,10.7,55,314,26.2,6.8,19.4,1753,183,118,12,0,0,360,553,0,6,0,1271,139,0,0,5,15,50,70,37,0
AtlRS034,south,-53.52,-28,544,19,11.4,56,333,29.8,9.3,20.5,1815,185,126,11,0,0,360,615,0,1,0,1418,128,0,0,5,15,50,70,37,0
AtlRS035,south,-52.21,-28.04,695,18.1,10.5,54,315,28.1,8.8,19.3,1765,203,116,16,0,0,360,565,0,1,0,1318,135,0,0,5,65,50,58,37,0
AtlRS036,south,-52.35,-28.08,685,18,10.5,55,314,28,8.9,19.1,1776,203,116,16,0,0,360,576,0,1,0,1319,134,0,0,20,65,50,54,37,0
AtlRS037,south,-51.59,-28.11,667,17.6,10.5,55,316,27.5,8.3,19.2,1721,193,121,14,0,0,360,521,0,3,0,1304,132,0,0,5,15,50,70,37,0
AtlRS038,south,-52.19,-28.29,724,17.6,10.4,54,314,27.7,8.6,19.1,1759,202,118,15,0,0,360,559,0,2,0,1294,136,0,0,5,15,50,70,37,0
AtlRS039,south,-50.56,-28.42,723,17,10.1,55,299,26.8,8.3,18.5,1655,164,113,13,0,0,360,455,0,3,0,1241,133,0,0,5,65,50,58,37,0
AtlRS040,south,-51.29,-28.47,711,17.1,10.1,54,310,26.9,8.2,18.7,1753,187,127,11,0,0,360,553,0,3,0,1258,140,0,0,5,65,50,58,37,0
AtlRS041,south,-51.6,-28.47,766,17,10.2,54,311,26.9,8.1,18.8,1785,195,130,12,0,0,360,585,0,3,0,1257,142,0,0,5,65,50,58,37,0
AtlRS042,south,-51.31,-28.66,747,17.2,10,54,310,27,8.4,18.6,1780,189,128,11,0,0,360,580,0,2,0,1243,143,0,0,20,65,50,54,37,0
AtlRS043,south,-50.94,-28.67,839,16.6,9.8,54,301,26.2,8,18.2,1800,185,128,11,0,0,360,600,0,3,0,1215,139,0,0,20,65,50,54,67,0
AtlRS044,south,-51.59,-28.76,712,17,10,53,315,27,8.2,18.8,1793,191,125,11,0,0,360,593,0,3,0,1254,143,0,0,5,65,50,58,37,0
AtlRS045,south,-50.29,-28.92,783,15.8,9.7,54,290,25.2,7.3,17.9,1811,177,129,11,0,0,360,611,0,5,0,1181,153,0,0,5,65,50,58,37,0
AtlRS046,south,-50.96,-29.01,836,16.6,9.6,53,298,26.1,8.1,18,1908,195,129,12,0,0,360,708,0,3,0,1199,161,0,0,5,65,50,58,37,0
AtlRS047,south,-51.2,-29.02,791,16.8,9.5,52,300,26.5,8.4,18.1,1873,196,121,13,0,0,360,673,0,2,0,1200,156,0,0,5,15,50,70,37,0
AtlRS048,south,-52.43,-29.27,573,17.5,10.1,53,328,27.8,8.7,19.1,1471,180,73,28,0,0,250,334,0,2,0,1268,116,0,0,5,5,50,73,37,0
AtlRS049,south,-50.85,-29.32,744,16.5,9.5,52,302,26.1,8,18.1,1944,193,134,10,0,0,360,744,0,3,0,1192,163,0,0,5,5,50,73,37,0
AtlRS050,south,-51.17,-28.23,922,16.4,10.3,54,309,26.2,7.3,18.9,1753,184,127,11,0,0,360,553,0,5,0,1246,141,0,0,20,65,50,54,67,0
AtlRS051,south,-50.68,-28.64,999,15.7,9.8,54,294,25.2,7.1,18.1,1788,178,124,11,0,0,360,588,0,6,0,1186,151,0,0,5,5,50,73,37,0
AtlRS052,south,-50.67,-28.93,955,15.8,9.7,54,299,25.2,7.2,18,1921,190,134,10,0,0,360,721,0,5,0,1179,163,0,0,20,65,50,54,67,0
AtlRS053,south,-50.54,-29.23,976,15.2,9.9,54,302,24.7,6.2,18.5,2107,201,141,9,0,0,360,907,0,8,0,1171,145,0,0,20,65,50,54,67,0
AtlSC114,south,-49.23,-26.1,861,16.4,10.1,54,306,25.5,6.7,18.8,1513,185,83,26,0,0,265,342,0,6,0,1249,121,0,0,20,45,50,59,37,0
AtlSC115,south,-50.04,-26.37,740,17.3,12,57,327,27.5,6.4,21.1,1397,165,79,21,0,0,260,234,0,6,0,1365,102,0,0,20,5,50,69,37,0
AtlSC116,south,-50.27,-26.43,778,16.9,12.2,56,337,27.3,5.7,21.6,1460,164,82,19,0,0,295,283,0,8,0,1388,103,0,0,5,15,50,70,17,0
AtlSC117,south,-49.59,-26.46,865,16.4,11,56,310,26.1,6.3,19.8,1462,175,85,22,0,0,270,290,0,7,0,1299,113,0,0,20,5,50,69,37,0
AtlSC118,south,-50.4,-26.55,867,16.1,12.1,57,334,26.4,5,21.4,1532,165,91,16,0,0,340,341,0,10,0,1370,112,0,0,20,5,50,69,37,0
AtlSC119,south,-50.13,-26.64,560,18,11.7,55,337,28.3,7.2,21.1,1458,163,82,19,0,0,285,283,0,4,0,1404,104,0,0,20,5,50,69,37,0
AtlSC120,south,-50.04,-26.82,572,17.9,11.3,55,328,28.1,7.6,20.5,1479,165,84,19,0,0,295,301,0,3,0,1377,107,0,0,20,5,50,69,37,0
AtlSC121,south,-50.22,-27.18,842,16.2,11.1,54,327,26.3,5.9,20.4,1607,174,93,17,0,0,345,414,0,8,0,1318,117,0,0,20,5,50,69,37,0
AtlSC122,south,-50.04,-27.36,849,16.5,10.7,54,324,26.5,6.5,20,1578,175,92,18,0,0,345,386,0,6,0,1269,119,0,0,20,5,50,69,37,0
AtlSC123,south,-49.59,-27.63,598,17.7,10.1,53,311,27.4,8.5,18.9,1547,184,91,22,0,0,290,360,0,2,0,1287,120,0,0,20,5,50,69,37,0
AtlSC124,south,-48.87,-27.9,885,15.5,8.2,50,286,23.9,7.4,16.5,1705,217,99,26,0,0,355,506,0,4,0,1086,157,0,0,5,65,50,58,37,0
AtlSC125,south,-49.23,-26.28,1005,15.6,10.2,55,299,24.7,6,18.7,1580,194,89,25,0,0,330,391,0,8,99,1218,130,0,0,5,15,50,70,37,0
AtlSC126,south,-49.68,-26.28,903,16.6,11.5,56,316,26.5,6.1,20.4,1373,168,79,23,0,0,235,220,0,7,0,1330,103,0,0,20,15,50,66,17,0
AtlSC127,south,-49.77,-26.55,943,16.2,11.3,56,312,26.1,6,20.1,1465,173,86,21,0,0,285,289,0,8,0,1306,112,0,0,20,15,50,66,17,0
AtlSC128,south,-50.31,-27,1190,14.7,11.4,56,313,24.6,4.4,20.2,1621,170,102,14,0,0,360,421,0,53,121,1248,130,0,0,20,15,50,66,17,0
AtlSC129,south,-50.23,-27.36,1150,14.9,10.9,55,312,24.8,5,19.8,1595,167,101,14,0,0,360,395,0,11,115,1245,128,0,0,20,15,50,66,17,0
AtlSC130,south,-49.59,-27.81,1015,16.1,9.9,54,298,25.6,7.1,18.5,1573,183,98,21,0,0,340,376,0,5,100,1194,132,0,0,20,15,50,66,17,0
AtlSC131,south,-49.95,-27.81,1110,15.2,10.2,54,298,25,6.1,18.9,1563,168,104,17,0,0,360,363,0,8,108,1192,131,0,0,5,15,50,70,17,0
AtlSC132,south,-49.32,-27.81,1120,14.7,9.4,54,278,23.8,6.4,17.4,1700,198,108,20,0,0,360,500,0,8,119,1114,153,0,0,20,15,50,66,17,0
AtlSC133,south,-49.41,-28.08,1139,14.7,9.4,54,277,23.8,6.3,17.5,1665,191,106,20,0,0,360,465,0,8,119,1141,146,0,0,20,15,50,66,17,0
AtlSC134,south,-49.86,-28.44,1089,15,9.7,54,278,24.4,6.6,17.8,1647,172,110,16,0,0,360,447,0,8,112,1175,140,0,0,20,15,50,66,17,0
AtlSC135,south,-50.13,-27.82,1167,15.2,10.4,53,314,25.2,5.6,19.6,1543,162,102,16,0,0,360,343,0,9,113,1178,138,0,0,20,65,50,54,67,0
AtlSC136,south,-49.88,-27.9,1498,13.6,10,56,279,23,5.1,17.9,1669,173,110,15,0,0,360,469,0,13,156,1116,150,0,0,20,15,50,66,17,0
