,region,Long10,Lat10,Altitude,TempAnn,TempDayRng,Isotherm,TempSeas,TempMax,TempMin,TempAnnRng,PrecAnn,PrecWetP,PrecDryP,PrecSeas,WaterDefDur,WaterDefSev,WaterExcDur,WaterExcSev,HyperSeas,DaysFrost,Cloudiness,PotentialET,AridityIndex,GrassCover,IflamIndex,Rockiness,Sandiness,SoilDrain,SoilWaterStorage,SoilFert,Salinity
AtlSC170,south,-52.02,-26.82,1075,16.2,12.6,59,317,26.5,5,21.5,2082,222,129,16,0,0,360,882,0,10,140,1365,153,0,0,20,5,50,69,37,0
AtlSC171,south,-50.96,-26.86,995,16,12,57,332,26.1,5,21.1,1722,173,118,12,0,0,360,522,0,10,0,1325,130,0,0,20,65,50,54,67,0
AtlSC172,south,-51.39,-26.91,1089,15.5,12,57,329,25.7,4.6,21.1,1858,195,125,14,0,0,360,658,0,39,126,1339,136,0,0,5,15,50,70,37,0
AtlSC173,south,-51.93,-27,1022,16,12.3,59,313,26.2,5.2,21,2027,214,133,15,0,0,360,827,0,10,129,1349,150,0,0,5,5,50,73,37,0
AtlSC174,south,-51.57,-27.09,965,16.1,11.9,57,331,26.2,5.2,21,1888,204,125,16,0,0,360,688,0,10,0,1337,138,0,0,5,5,50,73,37,0
AtlSC175,south,-51.21,-27.09,943,16.1,11.7,56,338,26.2,5.2,21,1854,199,126,15,0,0,360,654,0,10,0,1335,134,0,0,5,5,50,73,37,0
AtlSC176,south,-51.02,-27.2,1074,15.3,11.5,56,322,25.3,4.8,20.5,1790,180,120,11,0,0,360,590,0,25,120,1277,138,0,0,5,5,50,73,37,0
AtlSC177,south,-50.58,-27.36,962,15,11.1,55,316,24.9,4.8,20.1,1663,165,107,13,0,0,360,463,0,25,0,1246,133,0,0,5,15,50,70,37,0
AtlSC178,south,-51.18,-27.38,936,16.1,11.4,56,326,26.1,5.7,20.4,1822,185,107,14,0,0,360,622,0,8,0,1298,135,0,0,5,15,50,70,37,0
AtlSC179,south,-50.94,-27.45,941,15.7,11.2,55,321,25.6,5.4,20.2,1749,174,116,11,0,0,360,549,0,9,0,1276,137,0,0,5,15,50,70,37,0
AtlSC180,south,-50.58,-27.63,1051,15.6,10.8,54,323,25.6,5.6,20,1589,156,108,12,0,0,360,389,0,9,104,1242,128,0,0,20,65,50,54,67,0
AtlSC181,south,-51.12,-27.72,1010,16.1,10.9,55,320,26,6.2,19.8,1744,172,114,11,0,0,360,544,0,7,110,1266,138,0,0,20,65,50,54,67,0
AtlSC182,south,-50.82,-27.84,979,15.9,10.7,54,319,25.8,6.1,19.7,1660,163,118,11,0,0,360,460,0,7,0,1258,131,0,0,5,65,50,58,37,0
AtlSC183,south,-50.58,-27.9,998,15.9,10.5,53,320,25.9,6.2,19.7,1567,154,112,13,0,0,360,367,0,7,0,1240,126,0,0,20,65,50,54,67,0
AtlSC184,south,-50.24,-28.2,1093,15.7,10.1,54,298,25.5,6.9,18.6,1567,159,105,15,0,0,360,367,0,6,107,1190,137,0,0,5,65,50,58,37,0
AtlSC185,south,-50.4,-28.35,990,15.9,10,54,296,25.6,7.1,18.5,1619,161,109,14,0,0,360,419,0,6,0,1202,135,0,0,20,65,50,54,67,0
AtlSP086,north,-45.62,-22.77,1535,14.2,11,63,235,21.6,4,17.6,1904,328,36,68,0,0,200,924,0,72,183,1178,162,0,0,20,25,35,56,17,0
AtlSP087,north,-49.13,-24.24,972,17.1,11.3,57,299,26.2,6.4,19.8,1383,203,54,43,0,0,195,342,0,6,0,1348,103,0,0,20,25,35,56,17,0
AtlSP095,north,-49.46,-23.88,659,19.9,11.8,61,281,28.6,9.3,19.3,1260,182,52,41,0,0,180,244,0,1,0,1505,82,0,0,5,5,50,73,37,0
